# Nmap 7.98 scan initiated Fri Dec  5 11:38:10 2025 as: nmap -T5 -n -O -Pn -vv -p 21,22,80,445 -oN scan 192.168.1.0/24
Nmap scan report for 192.168.1.0 [host down, received no-response]
Nmap scan report for 192.168.1.1 [host down, received no-response]
Nmap scan report for 192.168.1.2 [host down, received no-response]
Nmap scan report for 192.168.1.3 [host down, received no-response]
Nmap scan report for 192.168.1.4 [host down, received no-response]
Nmap scan report for 192.168.1.5 [host down, received no-response]
Nmap scan report for 192.168.1.6 [host down, received no-response]
Nmap scan report for 192.168.1.7 [host down, received no-response]
Nmap scan report for 192.168.1.8 [host down, received no-response]
Nmap scan report for 192.168.1.9 [host down, received no-response]
Nmap scan report for 192.168.1.11 [host down, received no-response]
Nmap scan report for 192.168.1.13 [host down, received no-response]
Nmap scan report for 192.168.1.15 [host down, received no-response]
Nmap scan report for 192.168.1.16 [host down, received no-response]
Nmap scan report for 192.168.1.17 [host down, received no-response]
Nmap scan report for 192.168.1.18 [host down, received no-response]
Nmap scan report for 192.168.1.19 [host down, received no-response]
Nmap scan report for 192.168.1.20 [host down, received no-response]
Nmap scan report for 192.168.1.21 [host down, received no-response]
Nmap scan report for 192.168.1.22 [host down, received no-response]
Nmap scan report for 192.168.1.23 [host down, received no-response]
Nmap scan report for 192.168.1.24 [host down, received no-response]
Nmap scan report for 192.168.1.25 [host down, received no-response]
Nmap scan report for 192.168.1.26 [host down, received no-response]
Nmap scan report for 192.168.1.27 [host down, received no-response]
Nmap scan report for 192.168.1.28 [host down, received no-response]
Nmap scan report for 192.168.1.29 [host down, received no-response]
Nmap scan report for 192.168.1.30 [host down, received no-response]
Nmap scan report for 192.168.1.31 [host down, received no-response]
Nmap scan report for 192.168.1.32 [host down, received no-response]
Nmap scan report for 192.168.1.33 [host down, received no-response]
Nmap scan report for 192.168.1.34 [host down, received no-response]
Nmap scan report for 192.168.1.35 [host down, received no-response]
Nmap scan report for 192.168.1.36 [host down, received no-response]
Nmap scan report for 192.168.1.37 [host down, received no-response]
Nmap scan report for 192.168.1.38 [host down, received no-response]
Nmap scan report for 192.168.1.39 [host down, received no-response]
Nmap scan report for 192.168.1.40 [host down, received no-response]
Nmap scan report for 192.168.1.41 [host down, received no-response]
Nmap scan report for 192.168.1.42 [host down, received no-response]
Nmap scan report for 192.168.1.43 [host down, received no-response]
Nmap scan report for 192.168.1.44 [host down, received no-response]
Nmap scan report for 192.168.1.45 [host down, received no-response]
Nmap scan report for 192.168.1.46 [host down, received no-response]
Nmap scan report for 192.168.1.47 [host down, received no-response]
Nmap scan report for 192.168.1.48 [host down, received no-response]
Nmap scan report for 192.168.1.49 [host down, received no-response]
Nmap scan report for 192.168.1.50 [host down, received no-response]
Nmap scan report for 192.168.1.51 [host down, received no-response]
Nmap scan report for 192.168.1.52 [host down, received no-response]
Nmap scan report for 192.168.1.53 [host down, received no-response]
Nmap scan report for 192.168.1.54 [host down, received no-response]
Nmap scan report for 192.168.1.55 [host down, received no-response]
Nmap scan report for 192.168.1.56 [host down, received no-response]
Nmap scan report for 192.168.1.57 [host down, received no-response]
Nmap scan report for 192.168.1.58 [host down, received no-response]
Nmap scan report for 192.168.1.59 [host down, received no-response]
Nmap scan report for 192.168.1.60 [host down, received no-response]
Nmap scan report for 192.168.1.61 [host down, received no-response]
Nmap scan report for 192.168.1.62 [host down, received no-response]
Nmap scan report for 192.168.1.63 [host down, received no-response]
Nmap scan report for 192.168.1.64 [host down, received no-response]
Nmap scan report for 192.168.1.65 [host down, received no-response]
Nmap scan report for 192.168.1.66 [host down, received no-response]
Nmap scan report for 192.168.1.67 [host down, received no-response]
Nmap scan report for 192.168.1.68 [host down, received no-response]
Nmap scan report for 192.168.1.69 [host down, received no-response]
Nmap scan report for 192.168.1.70 [host down, received no-response]
Nmap scan report for 192.168.1.71 [host down, received no-response]
Nmap scan report for 192.168.1.72 [host down, received no-response]
Nmap scan report for 192.168.1.73 [host down, received no-response]
Nmap scan report for 192.168.1.74 [host down, received no-response]
